county_name,md_count_year,md_allergy_count,md_anesth_count,md_card_count,md_derm_count,md_emerg_med_count,md_fammed_count,md_gastr_count,md_genintmed_count,md_gen_surg_count,md_neuro_count,md_obgyn_count,md_ophth_count,md_psych_count,md_spec_count,md_surg_spec_count,all_gp_md_count,md_child_psych_count,md_gen_ped_count,census_year,census_count,popn_est_year,popn_est_count
Franklin,2019,0,4,0,0,2,10,0,4,4,0,2,1,1,13,8,10,1,9,2020,29456,2021,29687
Franklin,2019,0,4,0,0,2,10,0,4,4,0,2,1,1,13,8,10,1,9,2010,30768,2022,30474
Franklin,2019,0,4,0,0,2,10,0,4,4,0,2,1,1,13,8,10,1,9,2010,30768,2021,29687
Hancock,2019,1,8,2,1,10,32,0,15,8,2,4,5,4,29,26,34,2,5,2020,55478,2022,56701
Hancock,2019,1,8,2,1,10,32,0,15,8,2,4,5,4,29,26,34,2,5,2020,55478,2021,56192
Hancock,2019,1,8,2,1,10,32,0,15,8,2,4,5,4,29,26,34,2,5,2010,54418,2022,56701
Hancock,2019,1,8,2,1,10,32,0,15,8,2,4,5,4,29,26,34,2,5,2010,54418,2021,56192
Kennebec,2019,0,11,7,4,13,89,7,28,15,7,7,5,13,82,43,99,3,14,2020,123642,2022,125540
Kennebec,2019,0,11,7,4,13,89,7,28,15,7,7,5,13,82,43,99,3,14,2020,123642,2021,124486
Kennebec,2019,0,11,7,4,13,89,7,28,15,7,7,5,13,82,43,99,3,14,2010,122151,2022,125540
Kennebec,2019,0,11,7,4,13,89,7,28,15,7,7,5,13,82,43,99,3,14,2010,122151,2021,124486
Knox,2019,0,5,3,2,11,16,2,16,6,3,3,5,8,35,23,16,1,6,2020,40607,2022,41164
Knox,2019,0,5,3,2,11,16,2,16,6,3,3,5,8,35,23,16,1,6,2020,40607,2021,41084
Knox,2019,0,5,3,2,11,16,2,16,6,3,3,5,8,35,23,16,1,6,2010,39736,2022,41164
Knox,2019,0,5,3,2,11,16,2,16,6,3,3,5,8,35,23,16,1,6,2010,39736,2021,41084
Lincoln,2019,0,2,0,0,8,23,0,9,1,0,2,1,2,17,12,23,0,3,2020,35237,2022,36215
Lincoln,2019,0,2,0,0,8,23,0,9,1,0,2,1,2,17,12,23,0,3,2020,35237,2021,35828
Lincoln,2019,0,2,0,0,8,23,0,9,1,0,2,1,2,17,12,23,0,3,2010,34457,2022,36215
Lincoln,2019,0,2,0,0,8,23,0,9,1,0,2,1,2,17,12,23,0,3,2010,34457,2021,35828
Oxford,2019,0,1,1,0,6,14,0,8,5,1,6,1,0,15,14,14,0,5,2020,57777,2022,59495
Oxford,2019,0,1,1,0,6,14,0,8,5,1,6,1,0,15,14,14,0,5,2020,57777,2021,58629
Oxford,2019,0,1,1,0,6,14,0,8,5,1,6,1,0,15,14,14,0,5,2010,57833,2022,59495
Oxford,2019,0,1,1,0,6,14,0,8,5,1,6,1,0,15,14,14,0,5,2010,57833,2021,58629
